Resolved,PhysicalFilename,OriginalName,Hash,PhysicalSizeBytes,BundleListSizeBytes,PhysicalLastWriteTime,BundleListFlag,BundleListSource,BundleListLine,PhysicalFullPath
True,dd638bdaa4a2186afd654008fae7ac15.bundle,lua_data_cn.bundle,dd638bdaa4a2186afd654008fae7ac15,4341576,4341576,29/05/2026 13:33:19,6,StreamingAssets/Bundle/BundleList.txt,9072,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\dd638bdaa4a2186afd654008fae7ac15.bundle
True,c85e74eac7dc3a8ae424a1e19dcdd712.bundle,lua_data_kr.bundle,c85e74eac7dc3a8ae424a1e19dcdd712,4298415,4298415,09/05/2026 18:09:41,6,StreamingAssets/Bundle/BundleList.txt,552,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c85e74eac7dc3a8ae424a1e19dcdd712.bundle
True,f045cce41f768b77a3ac9dd3f6a251fb.bundle,lua_data_tw.bundle,f045cce41f768b77a3ac9dd3f6a251fb,4245520,4245520,29/05/2026 13:33:20,4,StreamingAssets/Bundle/BundleList.txt,307,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\f045cce41f768b77a3ac9dd3f6a251fb.bundle
True,2e9039bb4ab0d91877b9e8f1a5021be1.bundle,lua_data_en.bundle,2e9039bb4ab0d91877b9e8f1a5021be1,4193683,4193683,29/05/2026 13:33:20,4,StreamingAssets/Bundle/BundleList.txt,17,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\2e9039bb4ab0d91877b9e8f1a5021be1.bundle
True,68fcb27656aacf5e2ae6ed6d8b6b0473.bundle,lua_data_data_4.bundle,68fcb27656aacf5e2ae6ed6d8b6b0473,4104887,4104887,14/05/2026 20:42:27,2,StreamingAssets/Bundle/BundleList.txt,21061,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\68fcb27656aacf5e2ae6ed6d8b6b0473.bundle
True,cdf1e3d0178981b624545d6085a8555d.bundle,lua_data_in.bundle,cdf1e3d0178981b624545d6085a8555d,4100447,4100447,29/05/2026 13:33:19,4,StreamingAssets/Bundle/BundleList.txt,61,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\cdf1e3d0178981b624545d6085a8555d.bundle
True,fecb9fe90671d2c62cebd91a716294f5.bundle,maps_scenedata_2060.bundle,fecb9fe90671d2c62cebd91a716294f5,3956195,3956195,31/10/2025 13:01:31,2,StreamingAssets/Bundle/BundleList.txt,15,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\fecb9fe90671d2c62cebd91a716294f5.bundle
True,e747ababdcc3534da13ed216db45fa72.bundle,maps_scenedata_1950.bundle,e747ababdcc3534da13ed216db45fa72,3919607,3919607,31/10/2025 13:01:12,2,StreamingAssets/Bundle/BundleList.txt,33,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\e747ababdcc3534da13ed216db45fa72.bundle
True,171bad80373e11deb261cd7a17e7cca9.bundle,maps_scenedata_1270.bundle,171bad80373e11deb261cd7a17e7cca9,3855693,3855693,31/10/2025 13:01:20,2,StreamingAssets/Bundle/BundleList.txt,53,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\171bad80373e11deb261cd7a17e7cca9.bundle
True,3b0eea4aab42c077c2f05a5029184f61.bundle,maps_scenedata_1050.bundle,3b0eea4aab42c077c2f05a5029184f61,3840883,3840883,31/10/2025 13:01:22,2,StreamingAssets/Bundle/BundleList.txt,65,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\3b0eea4aab42c077c2f05a5029184f61.bundle
True,af08587ba8d992ed65e2eade80e10b66.bundle,maps_scenedata_1760.bundle,af08587ba8d992ed65e2eade80e10b66,3619859,3619859,31/10/2025 13:01:37,2,StreamingAssets/Bundle/BundleList.txt,134,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\af08587ba8d992ed65e2eade80e10b66.bundle
True,442f350fc2b94ed6ba9b1bd75fe193c0.bundle,maps_scenedata_1250.bundle,442f350fc2b94ed6ba9b1bd75fe193c0,3559630,3559630,31/10/2025 13:01:40,2,StreamingAssets/Bundle/BundleList.txt,154,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\442f350fc2b94ed6ba9b1bd75fe193c0.bundle
True,c453b81c8623456f40a5fe876b8b48e4.bundle,maps_scenedata_1230.bundle,c453b81c8623456f40a5fe876b8b48e4,3438470,3438470,31/10/2025 12:59:43,2,StreamingAssets/Bundle/BundleList.txt,186,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c453b81c8623456f40a5fe876b8b48e4.bundle
True,3136bf6a99106f19efa7636f7f323d31.bundle,lua_data_jp.bundle,3136bf6a99106f19efa7636f7f323d31,3433773,3433773,09/05/2026 18:10:37,3,StreamingAssets/Bundle/BundleList.txt,182,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\3136bf6a99106f19efa7636f7f323d31.bundle
True,d1d0693992a210f93865b8a5f8e3778f.bundle,maps_scenedata_5130.bundle,d1d0693992a210f93865b8a5f8e3778f,3423990,3423990,31/10/2025 12:59:46,2,StreamingAssets/Bundle/BundleList.txt,194,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d1d0693992a210f93865b8a5f8e3778f.bundle
True,777a80940bc0810aee0c3138d08581ac.bundle,maps_scenedata_1920.bundle,777a80940bc0810aee0c3138d08581ac,3219119,3219119,31/10/2025 13:00:04,2,StreamingAssets/Bundle/BundleList.txt,256,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\777a80940bc0810aee0c3138d08581ac.bundle
True,42df3afa667d56207a60a65fae8330ea.bundle,maps_scenedata_1910.bundle,42df3afa667d56207a60a65fae8330ea,3204068,3204068,31/10/2025 13:00:07,2,StreamingAssets/Bundle/BundleList.txt,264,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\42df3afa667d56207a60a65fae8330ea.bundle
True,7f164a573dc8a17fe5eb773e1fbb501a.bundle,maps_scenedata_5110.bundle,7f164a573dc8a17fe5eb773e1fbb501a,3178089,3178089,31/10/2025 13:00:11,2,StreamingAssets/Bundle/BundleList.txt,279,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\7f164a573dc8a17fe5eb773e1fbb501a.bundle
True,fab86fc150c6b15c0b83071ef6589354.bundle,maps_scenedata_3110.bundle,fab86fc150c6b15c0b83071ef6589354,3112080,3112080,31/10/2025 13:00:18,2,StreamingAssets/Bundle/BundleList.txt,305,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\fab86fc150c6b15c0b83071ef6589354.bundle
True,0ca74c9d311ce396374922a32ee6dc51.bundle,maps_scenedata_1220.bundle,0ca74c9d311ce396374922a32ee6dc51,2999891,2999891,31/10/2025 13:00:23,2,StreamingAssets/Bundle/BundleList.txt,322,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0ca74c9d311ce396374922a32ee6dc51.bundle
True,457b85baa09d06068a65cf269a44835b.bundle,maps_scenedata_1110.bundle,457b85baa09d06068a65cf269a44835b,2952004,2952004,31/10/2025 13:00:27,2,StreamingAssets/Bundle/BundleList.txt,334,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\457b85baa09d06068a65cf269a44835b.bundle
True,223be76876fa99bb71f37920ed93e965.bundle,maps_scenedata_1710.bundle,223be76876fa99bb71f37920ed93e965,2840499,2840499,31/10/2025 13:00:35,2,StreamingAssets/Bundle/BundleList.txt,387,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\223be76876fa99bb71f37920ed93e965.bundle
True,4674f855139160b19ea9f27d02f9493f.bundle,maps_scenedata_1810.bundle,4674f855139160b19ea9f27d02f9493f,2759166,2759166,31/10/2025 13:00:43,2,StreamingAssets/Bundle/BundleList.txt,411,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4674f855139160b19ea9f27d02f9493f.bundle
True,079ba031e2f645bf961ba0f477566b0f.bundle,maps_scenedata_1610.bundle,079ba031e2f645bf961ba0f477566b0f,2755133,2755133,31/10/2025 13:00:45,2,StreamingAssets/Bundle/BundleList.txt,413,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\079ba031e2f645bf961ba0f477566b0f.bundle
True,6cdfd615d7bbefdbb72a3ac7275f1be5.bundle,maps_scenedata_1290.bundle,6cdfd615d7bbefdbb72a3ac7275f1be5,2726164,2726164,31/10/2025 13:00:50,2,StreamingAssets/Bundle/BundleList.txt,421,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\6cdfd615d7bbefdbb72a3ac7275f1be5.bundle
True,abbdc3c0d546e8cfb0a0957ff9717419.bundle,maps_scenedata_5120.bundle,abbdc3c0d546e8cfb0a0957ff9717419,2712483,2712483,31/10/2025 13:00:51,2,StreamingAssets/Bundle/BundleList.txt,425,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\abbdc3c0d546e8cfb0a0957ff9717419.bundle
True,20181da99566b99205fc432f2c073e0f.bundle,maps_scenedata_1930.bundle,20181da99566b99205fc432f2c073e0f,2703620,2703620,31/10/2025 13:00:52,2,StreamingAssets/Bundle/BundleList.txt,431,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\20181da99566b99205fc432f2c073e0f.bundle
True,684054358271f44ce943af9151707c11.bundle,maps_scenedata_1150.bundle,684054358271f44ce943af9151707c11,2681736,2681736,31/10/2025 13:00:54,2,StreamingAssets/Bundle/BundleList.txt,444,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\684054358271f44ce943af9151707c11.bundle
True,c6c862774f7d8d3cbfcd395c8cdde6f6.bundle,maps_scenedata_1020.bundle,c6c862774f7d8d3cbfcd395c8cdde6f6,2657353,2657353,31/10/2025 13:00:56,2,StreamingAssets/Bundle/BundleList.txt,459,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\c6c862774f7d8d3cbfcd395c8cdde6f6.bundle
True,b219b299c84f68b8f1b46eea8f751409.bundle,maps_scenedata_1840.bundle,b219b299c84f68b8f1b46eea8f751409,2621380,2621380,31/10/2025 13:00:58,2,StreamingAssets/Bundle/BundleList.txt,467,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\b219b299c84f68b8f1b46eea8f751409.bundle
True,be50e45e38bde7b90b816ab5335232cb.bundle,maps_scenedata_5040.bundle,be50e45e38bde7b90b816ab5335232cb,2387641,2387641,31/10/2025 13:01:06,2,StreamingAssets/Bundle/BundleList.txt,568,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\be50e45e38bde7b90b816ab5335232cb.bundle
True,d772ece98f6f9e6ae33cfd0dd6b40ae4.bundle,maps_scenedata_1830.bundle,d772ece98f6f9e6ae33cfd0dd6b40ae4,2378934,2378934,31/10/2025 13:01:06,2,StreamingAssets/Bundle/BundleList.txt,577,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d772ece98f6f9e6ae33cfd0dd6b40ae4.bundle
True,f9ffffbbbc2b6288f0280ddd5d802261.bundle,maps_scenedata_5250.bundle,f9ffffbbbc2b6288f0280ddd5d802261,2348730,2348730,31/10/2025 13:00:38,2,StreamingAssets/Bundle/BundleList.txt,585,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\f9ffffbbbc2b6288f0280ddd5d802261.bundle
True,25c5a61e547315bc2168e59f47608ef6.bundle,maps_scenedata_1860.bundle,25c5a61e547315bc2168e59f47608ef6,2311053,2311053,31/10/2025 13:00:39,2,StreamingAssets/Bundle/BundleList.txt,599,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\25c5a61e547315bc2168e59f47608ef6.bundle
True,2a68988835159dceae2bace5b1e1fa9e.bundle,maps_scenedata_2040.bundle,2a68988835159dceae2bace5b1e1fa9e,2190358,2190358,31/10/2025 13:00:47,2,StreamingAssets/Bundle/BundleList.txt,625,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\2a68988835159dceae2bace5b1e1fa9e.bundle
True,2cb00ae0b58ccdbbb6a4a35ab9357b42.bundle,maps_scenedata_4550.bundle,2cb00ae0b58ccdbbb6a4a35ab9357b42,2062091,2062091,31/10/2025 13:00:54,2,StreamingAssets/Bundle/BundleList.txt,681,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\2cb00ae0b58ccdbbb6a4a35ab9357b42.bundle
True,5c93adc743a83474ef30d44fe541c11b.bundle,maps_scenedata_1160.bundle,5c93adc743a83474ef30d44fe541c11b,2048328,2048328,31/10/2025 13:00:55,2,StreamingAssets/Bundle/BundleList.txt,694,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5c93adc743a83474ef30d44fe541c11b.bundle
True,6892d4753ed2e68c3f3b54706f8349d3.bundle,maps_scenedata_2610.bundle,6892d4753ed2e68c3f3b54706f8349d3,2039041,2039041,31/10/2025 13:00:56,2,StreamingAssets/Bundle/BundleList.txt,696,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\6892d4753ed2e68c3f3b54706f8349d3.bundle
True,3c7c4eb1861b7a7f14318157f5ee6370.bundle,maps_scenedata_1410.bundle,3c7c4eb1861b7a7f14318157f5ee6370,2003889,2003889,31/10/2025 13:00:58,2,StreamingAssets/Bundle/BundleList.txt,713,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\3c7c4eb1861b7a7f14318157f5ee6370.bundle
True,0848911ce54097391c18b098cb6cb865.bundle,maps_scenedata_4110.bundle,0848911ce54097391c18b098cb6cb865,1973741,1973741,31/10/2025 13:00:58,2,StreamingAssets/Bundle/BundleList.txt,717,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0848911ce54097391c18b098cb6cb865.bundle
True,538de6f9201bcbad071c610c31470caa.bundle,maps_scenedata_1940.bundle,538de6f9201bcbad071c610c31470caa,1962747,1962747,31/10/2025 13:00:59,2,StreamingAssets/Bundle/BundleList.txt,725,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\538de6f9201bcbad071c610c31470caa.bundle
True,4a88d6601e0a6fd787bad87ca870b8c9.bundle,maps_scenedata_5700.bundle,4a88d6601e0a6fd787bad87ca870b8c9,1946261,1946261,31/10/2025 13:01:00,2,StreamingAssets/Bundle/BundleList.txt,733,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4a88d6601e0a6fd787bad87ca870b8c9.bundle
True,a424474a9a58b7359237784ce6054455.bundle,maps_scenedata_8170.bundle,a424474a9a58b7359237784ce6054455,1898236,1898236,31/10/2025 13:01:02,2,StreamingAssets/Bundle/BundleList.txt,771,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\a424474a9a58b7359237784ce6054455.bundle
True,9f3e19b2f64bba428c7180e3ba72931c.bundle,maps_scenedata_2090.bundle,9f3e19b2f64bba428c7180e3ba72931c,1857771,1857771,31/10/2025 13:00:29,2,StreamingAssets/Bundle/BundleList.txt,767,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\9f3e19b2f64bba428c7180e3ba72931c.bundle
True,bc3216f1f85b833e38bf4be52d0aaed1.bundle,maps_scenedata_1120.bundle,bc3216f1f85b833e38bf4be52d0aaed1,1847492,1847492,31/10/2025 13:00:29,2,StreamingAssets/Bundle/BundleList.txt,777,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\bc3216f1f85b833e38bf4be52d0aaed1.bundle
True,8db0fd063a5edbf88d85e0a74cbcfb9e.bundle,maps_scenedata_5050.bundle,8db0fd063a5edbf88d85e0a74cbcfb9e,1841580,1841580,31/10/2025 13:00:30,2,StreamingAssets/Bundle/BundleList.txt,795,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\8db0fd063a5edbf88d85e0a74cbcfb9e.bundle
True,0ad26cf3459ff8ee799a1fc9a099a95c.bundle,maps_scenedata_1360.bundle,0ad26cf3459ff8ee799a1fc9a099a95c,1784096,1784096,31/10/2025 13:00:32,2,StreamingAssets/Bundle/BundleList.txt,892,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\0ad26cf3459ff8ee799a1fc9a099a95c.bundle
True,91e42d243694e586e0e5e25b9cc6f05c.bundle,maps_scenedata_1850.bundle,91e42d243694e586e0e5e25b9cc6f05c,1731615,1731615,31/10/2025 13:00:35,2,StreamingAssets/Bundle/BundleList.txt,1434,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\91e42d243694e586e0e5e25b9cc6f05c.bundle
True,773d6fa01524768aa5aba397416f40a5.bundle,maps_scenedata_1130.bundle,773d6fa01524768aa5aba397416f40a5,1710530,1710530,31/10/2025 13:00:36,2,StreamingAssets/Bundle/BundleList.txt,1518,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\773d6fa01524768aa5aba397416f40a5.bundle
True,28ad110e2326ffd39ab68634ab5698d5.bundle,maps_scenedata_5030.bundle,28ad110e2326ffd39ab68634ab5698d5,1695863,1695863,31/10/2025 13:00:38,2,StreamingAssets/Bundle/BundleList.txt,1669,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\28ad110e2326ffd39ab68634ab5698d5.bundle
True,5fee21a5c87e0893806250fc9a14d28e.bundle,maps_scenedata_1340.bundle,5fee21a5c87e0893806250fc9a14d28e,1679625,1679625,31/10/2025 13:00:39,2,StreamingAssets/Bundle/BundleList.txt,1760,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5fee21a5c87e0893806250fc9a14d28e.bundle
True,d629e3f306291fd8efa793743a2857ec.bundle,maps_scenedata_8965.bundle,d629e3f306291fd8efa793743a2857ec,1620381,1620381,31/10/2025 13:00:43,2,StreamingAssets/Bundle/BundleList.txt,2164,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d629e3f306291fd8efa793743a2857ec.bundle
True,ed26154483c95aa78efa918323e0f509.bundle,maps_scenedata_1620.bundle,ed26154483c95aa78efa918323e0f509,1618218,1618218,31/10/2025 13:00:45,2,StreamingAssets/Bundle/BundleList.txt,2187,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\ed26154483c95aa78efa918323e0f509.bundle
True,54a2ec58e0d30a6664a223f4c7f73868.bundle,maps_scenedata_5020.bundle,54a2ec58e0d30a6664a223f4c7f73868,1599794,1599794,31/10/2025 13:00:50,2,StreamingAssets/Bundle/BundleList.txt,2333,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\54a2ec58e0d30a6664a223f4c7f73868.bundle
True,60c8251eef809ae70fc567690dd4a43c.bundle,maps_scenedata_5150.bundle,60c8251eef809ae70fc567690dd4a43c,1588747,1588747,31/10/2025 13:00:51,2,StreamingAssets/Bundle/BundleList.txt,2451,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\60c8251eef809ae70fc567690dd4a43c.bundle
True,2ef5a2a94cfe530cae15e60c6772f663.bundle,maps_scenedata_2010.bundle,2ef5a2a94cfe530cae15e60c6772f663,1514665,1514665,31/10/2025 13:00:57,2,StreamingAssets/Bundle/BundleList.txt,3125,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\2ef5a2a94cfe530cae15e60c6772f663.bundle
True,bdb042c03d64251b0bc638e4820c3d68.bundle,maps_scenedata_5330.bundle,bdb042c03d64251b0bc638e4820c3d68,1478053,1478053,24/11/2025 14:24:36,1,StreamingAssets/Bundle/BundleList.txt,21996,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\bdb042c03d64251b0bc638e4820c3d68.bundle
True,f05cb66ac45cf9abfcf26195a1f82be0.bundle,maps_scenedata_5260.bundle,f05cb66ac45cf9abfcf26195a1f82be0,1451339,1451339,31/10/2025 13:01:03,2,StreamingAssets/Bundle/BundleList.txt,3765,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\f05cb66ac45cf9abfcf26195a1f82be0.bundle
True,7a28265e0cc92cb15b51d791e0ebb77a.bundle,maps_scenedata_1010.bundle,7a28265e0cc92cb15b51d791e0ebb77a,1428466,1428466,31/10/2025 13:01:05,2,StreamingAssets/Bundle/BundleList.txt,3923,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\7a28265e0cc92cb15b51d791e0ebb77a.bundle
True,5a720d2bed63c3bd25df6c495ec75794.bundle,maps_scenedata_2080.bundle,5a720d2bed63c3bd25df6c495ec75794,1423856,1423856,31/10/2025 13:01:07,2,StreamingAssets/Bundle/BundleList.txt,4018,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5a720d2bed63c3bd25df6c495ec75794.bundle
True,5ab8727ae42f93f06a5749b4a3acafd1.bundle,maps_scenedata_5010.bundle,5ab8727ae42f93f06a5749b4a3acafd1,1420351,1420351,31/10/2025 13:01:08,2,StreamingAssets/Bundle/BundleList.txt,4226,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\5ab8727ae42f93f06a5749b4a3acafd1.bundle
True,6d4f3ca04caf31652fcbaa8758f4d8fe.bundle,maps_scenedata_1280.bundle,6d4f3ca04caf31652fcbaa8758f4d8fe,1414621,1414621,31/10/2025 13:01:10,2,StreamingAssets/Bundle/BundleList.txt,4421,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\6d4f3ca04caf31652fcbaa8758f4d8fe.bundle
True,4f4ca30bca79206f38f13cdab49e7641.bundle,maps_scenedata_5710.bundle,4f4ca30bca79206f38f13cdab49e7641,1414043,1414043,31/10/2025 13:01:10,2,StreamingAssets/Bundle/BundleList.txt,4437,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\4f4ca30bca79206f38f13cdab49e7641.bundle
True,bdbd316cbf5423f9aa55d49622f1b7ff.bundle,maps_scenedata_2820.bundle,bdbd316cbf5423f9aa55d49622f1b7ff,1404829,1404829,31/10/2025 13:01:11,2,StreamingAssets/Bundle/BundleList.txt,4498,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\bdbd316cbf5423f9aa55d49622f1b7ff.bundle
True,d3074b99e9b249c78ce75c88c60b935f.bundle,maps_scenedata_2070.bundle,d3074b99e9b249c78ce75c88c60b935f,1377532,1377532,31/10/2025 13:00:09,2,StreamingAssets/Bundle/BundleList.txt,4870,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\d3074b99e9b249c78ce75c88c60b935f.bundle
True,25839b5e07cfd131ac8de801c1837590.bundle,maps_scenedata_1060.bundle,25839b5e07cfd131ac8de801c1837590,1350806,1350806,31/10/2025 13:00:11,2,StreamingAssets/Bundle/BundleList.txt,5242,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\25839b5e07cfd131ac8de801c1837590.bundle
True,3fbef3dfc7f61684ae580bf25f225d99.bundle,maps_scenedata_1040.bundle,3fbef3dfc7f61684ae580bf25f225d99,1271637,1271637,31/10/2025 13:00:22,2,StreamingAssets/Bundle/BundleList.txt,6941,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\3fbef3dfc7f61684ae580bf25f225d99.bundle
True,687f7781b461bcbfcbcd1acbc5041a36.bundle,maps_scenedata_1960.bundle,687f7781b461bcbfcbcd1acbc5041a36,1166876,1166876,31/10/2025 13:00:34,2,StreamingAssets/Bundle/BundleList.txt,9238,C:\RO_SEA\RO_SEAGame\rox_Data\StreamingAssets\Bundle\687f7781b461bcbfcbcd1acbc5041a36.bundle
