Category,MatchedTerms,AddressHex,AddressDec,Name,Signature,TypeSignature
LUCK_PRAY_BLESS,Luck|Lucky,0xbf7fc0,12550080,System.Func<GameLuckyDrawLimit>$$.ctor,"void System_Func_GameLuckyDrawLimit____ctor (System_Func_GameLuckyDrawLimit__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_BF7FC0* method);",viiii
RNG,Random,0x236f0a0,37154976,System.Random$$.ctor,"void System_Random___ctor (System_Random_o* __this, const MethodInfo* method);",vii
RNG,Random,0x236f0d0,37155024,System.Random$$.ctor,"void System_Random___ctor (System_Random_o* __this, int32_t Seed, const MethodInfo* method);",viii
RNG,Random,0x236f080,37154944,System.Random$$Sample,"double System_Random__Sample (System_Random_o* __this, const MethodInfo* method);",dii
RNG,Random,0x236ec70,37153904,System.Random$$InternalSample,"int32_t System_Random__InternalSample (System_Random_o* __this, const MethodInfo* method);",iii
RNG,Random,0x236edf0,37154288,System.Random$$Next,"int32_t System_Random__Next (System_Random_o* __this, const MethodInfo* method);",iii
RNG,Random,0x236ec20,37153824,System.Random$$GetSampleForLargeRange,"double System_Random__GetSampleForLargeRange (System_Random_o* __this, const MethodInfo* method);",dii
RNG,Random,0x236ee00,37154304,System.Random$$Next,"int32_t System_Random__Next (System_Random_o* __this, int32_t minValue, int32_t maxValue, const MethodInfo* method);",iiiii
RNG,Random,0x236ef90,37154704,System.Random$$Next,"int32_t System_Random__Next (System_Random_o* __this, int32_t maxValue, const MethodInfo* method);",iiii
RNG,Random,0x110a5b0,17868208,System.Random$$NextDouble,"double System_Random__NextDouble (System_Random_o* __this, const MethodInfo* method);",dii
RNG,Random,0x236ed20,37154080,System.Random$$NextBytes,"void System_Random__NextBytes (System_Random_o* __this, System_Byte_array* buffer, const MethodInfo* method);",viii
RNG,Random,0x2309ae0,36739808,System.String$$GetLegacyNonRandomizedHashCode,"int32_t System_String__GetLegacyNonRandomizedHashCode (System_String_o* __this, const MethodInfo* method);",iii
RNG,Random,0x1cb97c0,30119872,System.IO.Path$$GetRandomFileName,System_String_o* System_IO_Path__GetRandomFileName (const MethodInfo* method);,ii
RNG,Random,0x9eacc0,10398912,System.Security.Cryptography.RandomNumberGenerator$$.ctor,"void System_Security_Cryptography_RandomNumberGenerator___ctor (System_Security_Cryptography_RandomNumberGenerator_o* __this, const MethodInfo* method);",vii
RNG,Random,0x2614c10,39930896,System.Security.Cryptography.RandomNumberGenerator$$Create,System_Security_Cryptography_RandomNumberGenerator_o* System_Security_Cryptography_RandomNumberGenerator__Create (const MethodInfo* method);,ii
RNG,Random,0x2614cb0,39931056,System.Security.Cryptography.RandomNumberGenerator$$Dispose,"void System_Security_Cryptography_RandomNumberGenerator__Dispose (System_Security_Cryptography_RandomNumberGenerator_o* __this, const MethodInfo* method);",vii
RNG,Random,0x7b0c40,8064064,System.Security.Cryptography.RandomNumberGenerator$$Dispose,"void System_Security_Cryptography_RandomNumberGenerator__Dispose (System_Security_Cryptography_RandomNumberGenerator_o* __this, bool disposing, const MethodInfo* method);",viii
RNG,Random,0x2614d20,39931168,System.Security.Cryptography.RandomNumberGenerator$$GetNonZeroBytes,"void System_Security_Cryptography_RandomNumberGenerator__GetNonZeroBytes (System_Security_Cryptography_RandomNumberGenerator_o* __this, System_Byte_array* data, const MethodInfo* method);",viii
RNG,Random,0x1fd4fd0,33378256,System.Security.Cryptography.Utils$$get_StaticRandomNumberGenerator,System_Security_Cryptography_RNGCryptoServiceProvider_o* System_Security_Cryptography_Utils__get_StaticRandomNumberGenerator (const MethodInfo* method);,ii
RNG,Random,0x1fd4a60,33376864,System.Security.Cryptography.Utils$$GenerateRandom,"System_Byte_array* System_Security_Cryptography_Utils__GenerateRandom (int32_t keySize, const MethodInfo* method);",iii
RNG,RNG,0x260dd70,39902576,System.Security.Cryptography.RNGCryptoServiceProvider$$.cctor,void System_Security_Cryptography_RNGCryptoServiceProvider___cctor (const MethodInfo* method);,vi
RNG,RNG,0x260dde0,39902688,System.Security.Cryptography.RNGCryptoServiceProvider$$.ctor,"void System_Security_Cryptography_RNGCryptoServiceProvider___ctor (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, const MethodInfo* method);",vii
RNG,RNG,0x260d8d0,39901392,System.Security.Cryptography.RNGCryptoServiceProvider$$Check,"void System_Security_Cryptography_RNGCryptoServiceProvider__Check (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, const MethodInfo* method);",vii
RNG,RNG,0x11f2a00,18819584,System.Security.Cryptography.RNGCryptoServiceProvider$$RngOpen,bool System_Security_Cryptography_RNGCryptoServiceProvider__RngOpen (const MethodInfo* method);,ii
RNG,RNG,0x260dd60,39902560,System.Security.Cryptography.RNGCryptoServiceProvider$$RngInitialize,"intptr_t System_Security_Cryptography_RNGCryptoServiceProvider__RngInitialize (System_Byte_array* seed, const MethodInfo* method);",iii
RNG,RNG,0x260dd50,39902544,System.Security.Cryptography.RNGCryptoServiceProvider$$RngGetBytes,"intptr_t System_Security_Cryptography_RNGCryptoServiceProvider__RngGetBytes (intptr_t handle, System_Byte_array* data, const MethodInfo* method);",iiii
RNG,RNG,0x260dd40,39902528,System.Security.Cryptography.RNGCryptoServiceProvider$$RngClose,"void System_Security_Cryptography_RNGCryptoServiceProvider__RngClose (intptr_t handle, const MethodInfo* method);",vii
RNG,RNG,0x260da20,39901728,System.Security.Cryptography.RNGCryptoServiceProvider$$GetBytes,"void System_Security_Cryptography_RNGCryptoServiceProvider__GetBytes (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, System_Byte_array* data, const MethodInfo* method);",viii
RNG,RNG,0x260dbc0,39902144,System.Security.Cryptography.RNGCryptoServiceProvider$$GetNonZeroBytes,"void System_Security_Cryptography_RNGCryptoServiceProvider__GetNonZeroBytes (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, System_Byte_array* data, const MethodInfo* method);",viii
RNG,RNG,0x260d960,39901536,System.Security.Cryptography.RNGCryptoServiceProvider$$Finalize,"void System_Security_Cryptography_RNGCryptoServiceProvider__Finalize (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, const MethodInfo* method);",vii
RNG,RNG,0x7b0c40,8064064,System.Security.Cryptography.RNGCryptoServiceProvider$$Dispose,"void System_Security_Cryptography_RNGCryptoServiceProvider__Dispose (System_Security_Cryptography_RNGCryptoServiceProvider_o* __this, bool disposing, const MethodInfo* method);",viii
REFINE,Refine|EquipRefine,0xe25ea0,14835360,"System.Collections.Generic.KeyValuePair<int, EquipRefineFxInfo>$$get_Value","Cc_Thedream_Mmo_Data_EquipRefineFxInfo_o* System_Collections_Generic_KeyValuePair_int__EquipRefineFxInfo___get_Value (System_Collections_Generic_KeyValuePair_int__EquipRefineFxInfo__o __this, const MethodInfo_E25EA0* method);",iii
REFINE,Refine|EquipRefine,0x2590620,39388704,"System.Collections.Generic.Dictionary<int, EquipRefineFxInfo>$$.ctor","void System_Collections_Generic_Dictionary_int__EquipRefineFxInfo____ctor (System_Collections_Generic_Dictionary_int__EquipRefineFxInfo__o* __this, const MethodInfo_2590620* method);",vii
RNG,Random,0x1ffdd50,33545552,System.Collections.Generic.NonRandomizedStringEqualityComparer$$Equals,"bool System_Collections_Generic_NonRandomizedStringEqualityComparer__Equals (System_Collections_Generic_NonRandomizedStringEqualityComparer_o* __this, System_String_o* x, System_String_o* y, const MethodInfo* method);",iiiii
RNG,Random,0x1ffdd70,33545584,System.Collections.Generic.NonRandomizedStringEqualityComparer$$GetHashCode,"int32_t System_Collections_Generic_NonRandomizedStringEqualityComparer__GetHashCode (System_Collections_Generic_NonRandomizedStringEqualityComparer_o* __this, System_String_o* obj, const MethodInfo* method);",iiii
RNG,Random,0x1ffdd90,33545616,System.Collections.Generic.NonRandomizedStringEqualityComparer$$.ctor,"void System_Collections_Generic_NonRandomizedStringEqualityComparer___ctor (System_Collections_Generic_NonRandomizedStringEqualityComparer_o* __this, const MethodInfo* method);",vii
RNG,RNG,0x12f9180,19894656,Mono.Security.X509.PKCS12$$get_RNG,"System_Security_Cryptography_RandomNumberGenerator_o* Mono_Security_X509_PKCS12__get_RNG (Mono_Security_X509_PKCS12_1_o* __this, const MethodInfo* method);",iii
RNG,Random,0xb64450,11945040,Mono.Security.Protocol.Tls.Context$$get_ClientRandom,"System_Byte_array* Mono_Security_Protocol_Tls_Context__get_ClientRandom (Mono_Security_Protocol_Tls_Context_o* __this, const MethodInfo* method);",iii
RNG,Random,0x123b5c0,19117504,Mono.Security.Protocol.Tls.Context$$set_ClientRandom,"void Mono_Security_Protocol_Tls_Context__set_ClientRandom (Mono_Security_Protocol_Tls_Context_o* __this, System_Byte_array* value, const MethodInfo* method);",viii
RNG,Random,0xb644e0,11945184,Mono.Security.Protocol.Tls.Context$$get_ServerRandom,"System_Byte_array* Mono_Security_Protocol_Tls_Context__get_ServerRandom (Mono_Security_Protocol_Tls_Context_o* __this, const MethodInfo* method);",iii
RNG,Random,0x123b600,19117568,Mono.Security.Protocol.Tls.Context$$set_ServerRandom,"void Mono_Security_Protocol_Tls_Context__set_ServerRandom (Mono_Security_Protocol_Tls_Context_o* __this, System_Byte_array* value, const MethodInfo* method);",viii
RNG,Random,0xb64500,11945216,Mono.Security.Protocol.Tls.Context$$get_RandomCS,"System_Byte_array* Mono_Security_Protocol_Tls_Context__get_RandomCS (Mono_Security_Protocol_Tls_Context_o* __this, const MethodInfo* method);",iii
RNG,Random,0x12a5dc0,19553728,Mono.Security.Protocol.Tls.Context$$set_RandomCS,"void Mono_Security_Protocol_Tls_Context__set_RandomCS (Mono_Security_Protocol_Tls_Context_o* __this, System_Byte_array* value, const MethodInfo* method);",viii
RNG,Random,0xb64550,11945296,Mono.Security.Protocol.Tls.Context$$get_RandomSC,"System_Byte_array* Mono_Security_Protocol_Tls_Context__get_RandomSC (Mono_Security_Protocol_Tls_Context_o* __this, const MethodInfo* method);",iii
RNG,Random,0x123b5b0,19117488,Mono.Security.Protocol.Tls.Context$$set_RandomSC,"void Mono_Security_Protocol_Tls_Context__set_RandomSC (Mono_Security_Protocol_Tls_Context_o* __this, System_Byte_array* value, const MethodInfo* method);",viii
RNG,Random,0x1ebe6b0,32237232,Mono.Security.Protocol.Tls.Context$$GetSecureRandomBytes,"System_Byte_array* Mono_Security_Protocol_Tls_Context__GetSecureRandomBytes (Mono_Security_Protocol_Tls_Context_o* __this, int32_t count, const MethodInfo* method);",iiii
RNG,Random,0x21dd730,35510064,Mono.Security.Cryptography.SymmetricTransform$$Random,"void Mono_Security_Cryptography_SymmetricTransform__Random (Mono_Security_Cryptography_SymmetricTransform_1_o* __this, System_Byte_array* buffer, int32_t start, int32_t length, const MethodInfo* method);",viiiii
RNG,Random,0x23bf9e0,37485024,Mono.Math.BigInteger$$GenerateRandom,"Mono_Math_BigInteger_1_o* Mono_Math_BigInteger__GenerateRandom (int32_t bits, System_Security_Cryptography_RandomNumberGenerator_o* rng, const MethodInfo* method);",iiii
RNG,Random,0x23bf980,37484928,Mono.Math.BigInteger$$GenerateRandom,"Mono_Math_BigInteger_1_o* Mono_Math_BigInteger__GenerateRandom (int32_t bits, const MethodInfo* method);",iii
RNG,Random,0x23c0890,37488784,Mono.Math.BigInteger$$Randomize,"void Mono_Math_BigInteger__Randomize (Mono_Math_BigInteger_1_o* __this, System_Security_Cryptography_RandomNumberGenerator_o* rng, const MethodInfo* method);",viii
RNG,Random,0x23c0830,37488688,Mono.Math.BigInteger$$Randomize,"void Mono_Math_BigInteger__Randomize (Mono_Math_BigInteger_1_o* __this, const MethodInfo* method);",vii
RNG,Random,0xb6cd80,11980160,System.Xml.XmlQualifiedName$$IsRandomizedHashingDisabled,bool System_Xml_XmlQualifiedName__IsRandomizedHashingDisabled (const MethodInfo* method);,ii
RNG,Random,0x2503810,38811664,UnityEngine.Graphics$$Internal_SetRandomWriteTargetRT,"void UnityEngine_Graphics__Internal_SetRandomWriteTargetRT (int32_t index, UnityEngine_RenderTexture_o* uav, const MethodInfo* method);",viii
RNG,Random,0x25037b0,38811568,UnityEngine.Graphics$$Internal_SetRandomWriteTargetBuffer,"void UnityEngine_Graphics__Internal_SetRandomWriteTargetBuffer (int32_t index, UnityEngine_ComputeBuffer_o* uav, bool preserveCounterValue, const MethodInfo* method);",viiii
RNG,Random,0x24faf60,38776672,UnityEngine.Graphics$$ClearRandomWriteTargets,void UnityEngine_Graphics__ClearRandomWriteTargets (const MethodInfo* method);,vi
RNG,Random,0x25039e0,38812128,UnityEngine.Graphics$$SetRandomWriteTarget,"void UnityEngine_Graphics__SetRandomWriteTarget (int32_t index, UnityEngine_RenderTexture_o* uav, const MethodInfo* method);",viii
RNG,Random,0x2503850,38811728,UnityEngine.Graphics$$SetRandomWriteTarget,"void UnityEngine_Graphics__SetRandomWriteTarget (int32_t index, UnityEngine_ComputeBuffer_o* uav, bool preserveCounterValue, const MethodInfo* method);",viiii
RNG,Random,0x2503ad0,38812368,UnityEngine.Graphics$$SetRandomWriteTarget,"void UnityEngine_Graphics__SetRandomWriteTarget (int32_t index, UnityEngine_ComputeBuffer_o* uav, const MethodInfo* method);",viii
RNG,Random,0x20893c0,34116544,UnityEngine.RenderTexture$$get_enableRandomWrite,"bool UnityEngine_RenderTexture__get_enableRandomWrite (UnityEngine_RenderTexture_o* __this, const MethodInfo* method);",iii
RNG,Random,0x2089930,34117936,UnityEngine.RenderTexture$$set_enableRandomWrite,"void UnityEngine_RenderTexture__set_enableRandomWrite (UnityEngine_RenderTexture_o* __this, bool value, const MethodInfo* method);",viii
RNG,Random,0x20872b0,34108080,UnityEngine.RenderTextureDescriptor$$get_enableRandomWrite,"bool UnityEngine_RenderTextureDescriptor__get_enableRandomWrite (UnityEngine_RenderTextureDescriptor_o __this, const MethodInfo* method);",iii
RNG,Random,0x20873e0,34108384,UnityEngine.RenderTextureDescriptor$$set_enableRandomWrite,"void UnityEngine_RenderTextureDescriptor__set_enableRandomWrite (UnityEngine_RenderTextureDescriptor_o __this, bool value, const MethodInfo* method);",viii
RNG,Random,0x237a8b0,37202096,UnityEngine.Mathf$$RandomToLong,"int64_t UnityEngine_Mathf__RandomToLong (System_Random_o* r, const MethodInfo* method);",jii
RNG,Random,0x26a57f0,40523760,UnityEngine.Random$$get_seed,int32_t UnityEngine_Random__get_seed (const MethodInfo* method);,ii
RNG,Random,0x26a58d0,40523984,UnityEngine.Random$$set_seed,"void UnityEngine_Random__set_seed (int32_t value, const MethodInfo* method);",vii
RNG,Random,0x26a54e0,40522976,UnityEngine.Random$$InitState,"void UnityEngine_Random__InitState (int32_t seed, const MethodInfo* method);",vii
RNG,Random,0x26a5860,40523872,UnityEngine.Random$$get_state,UnityEngine_Random_State_o UnityEngine_Random__get_state (const MethodInfo* method);,ii
RNG,Random,0x26a5950,40524112,UnityEngine.Random$$set_state,"void UnityEngine_Random__set_state (UnityEngine_Random_State_o value, const MethodInfo* method);",vii
RNG,Random,0x26a5560,40523104,UnityEngine.Random$$Range,"float UnityEngine_Random__Range (float min, float max, const MethodInfo* method);",fffi
RNG,Random,0x26a5520,40523040,UnityEngine.Random$$Range,"int32_t UnityEngine_Random__Range (int32_t min, int32_t max, const MethodInfo* method);",iiii
RNG,Random,0x26a5520,40523040,UnityEngine.Random$$RandomRangeInt,"int32_t UnityEngine_Random__RandomRangeInt (int32_t min, int32_t max, const MethodInfo* method);",iiii
RNG,Random,0x26a58a0,40523936,UnityEngine.Random$$get_value,float UnityEngine_Random__get_value (const MethodInfo* method);,fi
RNG,Random,0x26a5630,40523312,UnityEngine.Random$$get_insideUnitSphere,UnityEngine_Vector3_o UnityEngine_Random__get_insideUnitSphere (const MethodInfo* method);,ii
RNG,Random,0x26a54a0,40522912,UnityEngine.Random$$GetRandomUnitCircle,"void UnityEngine_Random__GetRandomUnitCircle (UnityEngine_Vector2_o* output, const MethodInfo* method);",vii
RNG,Random,0x26a55b0,40523184,UnityEngine.Random$$get_insideUnitCircle,UnityEngine_Vector2_o UnityEngine_Random__get_insideUnitCircle (const MethodInfo* method);,ii
RNG,Random,0x26a56b0,40523440,UnityEngine.Random$$get_onUnitSphere,UnityEngine_Vector3_o UnityEngine_Random__get_onUnitSphere (const MethodInfo* method);,ii
RNG,Random,0x26a57b0,40523696,UnityEngine.Random$$get_rotation,UnityEngine_Quaternion_o UnityEngine_Random__get_rotation (const MethodInfo* method);,ii
RNG,Random,0x26a5730,40523568,UnityEngine.Random$$get_rotationUniform,UnityEngine_Quaternion_o UnityEngine_Random__get_rotationUniform (const MethodInfo* method);,ii
RNG,Random,0x26a5560,40523104,UnityEngine.Random$$RandomRange,"float UnityEngine_Random__RandomRange (float min, float max, const MethodInfo* method);",fffi
RNG,Random,0x26a5520,40523040,UnityEngine.Random$$RandomRange,"int32_t UnityEngine_Random__RandomRange (int32_t min, int32_t max, const MethodInfo* method);",iiii
RNG,Random,0x26a5360,40522592,UnityEngine.Random$$ColorHSV,UnityEngine_Color_o UnityEngine_Random__ColorHSV (const MethodInfo* method);,ii
RNG,Random,0x26a5140,40522048,UnityEngine.Random$$ColorHSV,"UnityEngine_Color_o UnityEngine_Random__ColorHSV (float hueMin, float hueMax, const MethodInfo* method);",iffi
RNG,Random,0x26a5440,40522816,UnityEngine.Random$$ColorHSV,"UnityEngine_Color_o UnityEngine_Random__ColorHSV (float hueMin, float hueMax, float saturationMin, float saturationMax, const MethodInfo* method);",iffffi
RNG,Random,0x26a53c0,40522688,UnityEngine.Random$$ColorHSV,"UnityEngine_Color_o UnityEngine_Random__ColorHSV (float hueMin, float hueMax, float saturationMin, float saturationMax, float valueMin, float valueMax, const MethodInfo* method);",iffffffi
RNG,Random,0x26a51a0,40522144,UnityEngine.Random$$ColorHSV,"UnityEngine_Color_o UnityEngine_Random__ColorHSV (float hueMin, float hueMax, float saturationMin, float saturationMax, float valueMin, float valueMax, float alphaMin, float alphaMax, const MethodInfo* method);",iffffffffi
RNG,Random,0x9eacc0,10398912,UnityEngine.Random$$.ctor,"void UnityEngine_Random___ctor (UnityEngine_Random_o* __this, const MethodInfo* method);",vii
RNG,Random,0x26a5820,40523808,UnityEngine.Random$$get_state_Injected,"void UnityEngine_Random__get_state_Injected (UnityEngine_Random_State_o* ret, const MethodInfo* method);",vii
RNG,Random,0x26a5910,40524048,UnityEngine.Random$$set_state_Injected,"void UnityEngine_Random__set_state_Injected (UnityEngine_Random_State_o* value, const MethodInfo* method);",vii
RNG,Random,0x26a55f0,40523248,UnityEngine.Random$$get_insideUnitSphere_Injected,"void UnityEngine_Random__get_insideUnitSphere_Injected (UnityEngine_Vector3_o* ret, const MethodInfo* method);",vii
RNG,Random,0x26a5670,40523376,UnityEngine.Random$$get_onUnitSphere_Injected,"void UnityEngine_Random__get_onUnitSphere_Injected (UnityEngine_Vector3_o* ret, const MethodInfo* method);",vii
RNG,Random,0x26a5770,40523632,UnityEngine.Random$$get_rotation_Injected,"void UnityEngine_Random__get_rotation_Injected (UnityEngine_Quaternion_o* ret, const MethodInfo* method);",vii
RNG,Random,0x26a56f0,40523504,UnityEngine.Random$$get_rotationUniform_Injected,"void UnityEngine_Random__get_rotationUniform_Injected (UnityEngine_Quaternion_o* ret, const MethodInfo* method);",vii
RNG,Random,0x854700,8734464,UnityEngine.GameObject$$GetComponent<CameraTransitionRandomGrid>,"CameraTransitions_CameraTransitionRandomGrid_o* UnityEngine_GameObject__GetComponent_CameraTransitionRandomGrid_ (UnityEngine_GameObject_o* __this, const MethodInfo_854700* method);",iii
RNG,Random,0x854420,8733728,UnityEngine.GameObject$$AddComponent<CameraTransitionRandomGrid>,"CameraTransitions_CameraTransitionRandomGrid_o* UnityEngine_GameObject__AddComponent_CameraTransitionRandomGrid_ (UnityEngine_GameObject_o* __this, const MethodInfo_854420* method);",iii
RNG,Random,0x24d8da0,38636960,UnityEngine.SystemInfo$$get_supportedRandomWriteTargetCount,int32_t UnityEngine_SystemInfo__get_supportedRandomWriteTargetCount (const MethodInfo* method);,ii
RNG,Random,0x24d8da0,38636960,UnityEngine.SystemInfo$$SupportedRandomWriteTargetCount,int32_t UnityEngine_SystemInfo__SupportedRandomWriteTargetCount (const MethodInfo* method);,ii
RNG,Random,0x207d2e0,34067168,UnityEngine.Rendering.CommandBuffer$$SetRandomWriteTarget_Texture,"void UnityEngine_Rendering_CommandBuffer__SetRandomWriteTarget_Texture (UnityEngine_Rendering_CommandBuffer_o* __this, int32_t index, UnityEngine_Rendering_RenderTargetIdentifier_o* rt, const MethodInfo* method);",viiii
RNG,Random,0x207d270,34067056,UnityEngine.Rendering.CommandBuffer$$SetRandomWriteTarget_Buffer,"void UnityEngine_Rendering_CommandBuffer__SetRandomWriteTarget_Buffer (UnityEngine_Rendering_CommandBuffer_o* __this, int32_t index, UnityEngine_ComputeBuffer_o* uav, bool preserveCounterValue, const MethodInfo* method);",viiiii
RNG,Random,0x2074e70,34033264,UnityEngine.Rendering.CommandBuffer$$ClearRandomWriteTargets,"void UnityEngine_Rendering_CommandBuffer__ClearRandomWriteTargets (UnityEngine_Rendering_CommandBuffer_o* __this, const MethodInfo* method);",vii
RNG,Random,0x207d440,34067520,UnityEngine.Rendering.CommandBuffer$$SetRandomWriteTarget,"void UnityEngine_Rendering_CommandBuffer__SetRandomWriteTarget (UnityEngine_Rendering_CommandBuffer_o* __this, int32_t index, UnityEngine_Rendering_RenderTargetIdentifier_o rt, const MethodInfo* method);",viiii
RNG,Random,0x207d3b0,34067376,UnityEngine.Rendering.CommandBuffer$$SetRandomWriteTarget,"void UnityEngine_Rendering_CommandBuffer__SetRandomWriteTarget (UnityEngine_Rendering_CommandBuffer_o* __this, int32_t index, UnityEngine_ComputeBuffer_o* buffer, bool preserveCounterValue, const MethodInfo* method);",viiiii
RNG,Random,0x207d330,34067248,UnityEngine.Rendering.CommandBuffer$$SetRandomWriteTarget,"void UnityEngine_Rendering_CommandBuffer__SetRandomWriteTarget (UnityEngine_Rendering_CommandBuffer_o* __this, int32_t index, UnityEngine_ComputeBuffer_o* buffer, const MethodInfo* method);",viiii
RNG,Random,0x2642680,40117888,UnityEngine.ParticleSystem$$get_useAutoRandomSeed,"bool UnityEngine_ParticleSystem__get_useAutoRandomSeed (UnityEngine_ParticleSystem_o* __this, const MethodInfo* method);",iii
RNG,Random,0x2642cd0,40119504,UnityEngine.ParticleSystem$$set_useAutoRandomSeed,"void UnityEngine_ParticleSystem__set_useAutoRandomSeed (UnityEngine_ParticleSystem_o* __this, bool value, const MethodInfo* method);",viii
RNG,Random,0x26ee990,40823184,UnityEngine.ParticleSystem.TextureSheetAnimationModule$$set_useRandomRow,"void UnityEngine_ParticleSystem_TextureSheetAnimationModule__set_useRandomRow (UnityEngine_ParticleSystem_TextureSheetAnimationModule_o __this, bool value, const MethodInfo* method);",viii
RNG,Random,0x26ee230,40821296,UnityEngine.ParticleSystem.TextureSheetAnimationModule$$get_useRandomRow,"bool UnityEngine_ParticleSystem_TextureSheetAnimationModule__get_useRandomRow (UnityEngine_ParticleSystem_TextureSheetAnimationModule_o __this, const MethodInfo* method);",iii
RNG,Random,0x2639680,40081024,UnityEngine.ParticleSystem.EmitParams$$ResetRandomSeed,"void UnityEngine_ParticleSystem_EmitParams__ResetRandomSeed (UnityEngine_ParticleSystem_EmitParams_o __this, const MethodInfo* method);",vii
RNG,Random,0x263afc0,40087488,UnityEngine.ParticleSystem.LightsModule$$get_useRandomDistribution,"bool UnityEngine_ParticleSystem_LightsModule__get_useRandomDistribution (UnityEngine_ParticleSystem_LightsModule_o __this, const MethodInfo* method);",iii
RNG,Random,0x263b400,40088576,UnityEngine.ParticleSystem.LightsModule$$set_useRandomDistribution,"void UnityEngine_ParticleSystem_LightsModule__set_useRandomDistribution (UnityEngine_ParticleSystem_LightsModule_o __this, bool value, const MethodInfo* method);",viii
RNG,Random,0x263afc0,40087488,UnityEngine.ParticleSystem.LightsModule$$get_useRandomDistribution_Injected,"bool UnityEngine_ParticleSystem_LightsModule__get_useRandomDistribution_Injected (UnityEngine_ParticleSystem_LightsModule_o* _unity_self, const MethodInfo* method);",iii
RNG,Random,0x263b400,40088576,UnityEngine.ParticleSystem.LightsModule$$set_useRandomDistribution_Injected,"void UnityEngine_ParticleSystem_LightsModule__set_useRandomDistribution_Injected (UnityEngine_ParticleSystem_LightsModule_o* _unity_self, bool value, const MethodInfo* method);",viii
RNG,Random,0x26e6360,40788832,UnityEngine.ParticleSystemForceField$$get_rotationRandomness,"UnityEngine_Vector2_o UnityEngine_ParticleSystemForceField__get_rotationRandomness (UnityEngine_ParticleSystemForceField_o* __this, const MethodInfo* method);",iii
